"status","chapter","search_date","query","video_url","video_id","title","presenter","channel","duration","upload_date","original_content_date","date_note","source_authority","qualification_evidence_url","playback_status","embed_status","learning_tier","classic_exception","classic_exception_reason","recent_alternative_search","commercial_disclosure","contains_intervention","intervention_start_timestamp","diagnostic_segment_range","scope_note","last_verified_at","verifier","decision_reason"
"adopted","CH0","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=JwMcy65g4Oc","JwMcy65g4Oc","A Stepwise Guide to Performing Shoulder Ultrasound: The ABSIS Protocol","ABSIS protocol 作者團隊","MGH Ultrasound","6:38","2021-09-03","","影片未公開獨立的原始錄製日期；YouTube 頁面時區日期為 2021-09-02，yt-dlp 依 UTC 正規化為 2021-09-03；配套論文發表日為 2021-09-28。","academic-medical-center-peer-reviewed-companion","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","false","","","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–06:38","這是急性照護 focused protocol，不是完整 MSK shoulder examination；省略棘下肌、小圓肌與完整後側結構，動態所見也不等同臨床 impingement syndrome。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","MGH 公開影片並有同儕審查論文配套，適合比較 focused acute-care POCUS 與完整肩部檢查的範圍。"
"adopted","CH1","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=W_X5SmLE3gs","W_X5SmLE3gs","How I Do It: Shoulder US Anatomy, Technique, and Scanning Pitfalls (Radiology 260:1 July 2011)","Jon A. Jacobson, MD","RadiologyRSNA","8:44","2015-05-04","2011-07-01","","professional-society-journal","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","core","true","難以取代的肩部掃描 protocol、anisotropy 與 pitfalls 經典示範，並有 RSNA 同儕審查文章配套。","待確認：原始近期替代搜尋紀錄未保存","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–08:44","經典技術教材，不等於 2026 年完整規範；動態 impingement 僅作影像觀察，仍須由現行標準視圖與臨床脈絡補足。YouTube 未提供字幕，因此另以本機語音轉錄配合全片畫面抽查；內容全為診斷掃描，未見注射／介入示範或教學。","2026-08-02","Codex（逐片字幕實查；無字幕者以本機語音轉錄與畫面抽查）","RSNA 官方短片直接配套 Radiology 同儕審查文章，以不到九分鐘濃縮肩部標準取得、正常解剖、anisotropy 與常見陷阱；YouTube 無自動或人工字幕，已另以本機語音轉錄與全片畫面抽查確認無介入內容。"
"adopted","CH1","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=juUSIoplk1k","juUSIoplk1k","An introduction to shoulder musculoskeletal ultrasound","Stuart Wildman；David Baker","The Ultrasound Site - MSK ultrasound education","52:34","2025-06-03","2025-06-03","","specialist-training-provider","https://theultrasoundsite.co.uk/ultrasound-training-courses/introductory-msk-ultrasound-course/","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","false","","","影片頁未載商業揭露；不由此推定無利益關係。","true","02:12","02:30–11:17、11:23–30:56、31:03–39:17、39:29–45:10","基礎長篇總覽；不取代本課程的完整標準掃描清單、正式報告規範與合格督導。本課只學 02:30–11:17、11:23–30:56、31:03–39:17、39:29–45:10 的肩部超音波原理、標準結構與病理辨識；其餘 injector、nerve block、guided injection 與 injection course 內容均不在本課範圍。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","作為基礎技術章的長篇總覽；正式入選前仍需完成逐段醫療審閱。"
"adopted","CH2","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=oSMful3J4gQ","oSMful3J4gQ","MSK Ultrasound Shoulder Scan: Techniques, Anatomy & Clinical Tips | SMUG UK","待確認","SMUG MSK ultrasound training","9:08","2025-02-24","2025-02-24","","specialist-training-provider","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","false","","","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–09:08","精簡流程示範；仍需依課內 required views 補足完整結構、影像保存與標示。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","2025 年的精簡完整示範，病人姿勢與探頭位置清楚，可作為全流程預習。"
"adopted","CH2","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=eglplbWaqxA","eglplbWaqxA","Dr. Don Buford Live 13 Point Shoulder Ultrasound Exam Demo","Don Buford, MD, RMSK；Ben DuBois, MD","Dr Don Buford","33:27","2011-08-03","","內容錄於 2011 San Diego Shoulder Course；確切錄製日期未公開。","named-specialist-clinician-channel","https://orthosono.com/faculty/","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","true","保留少見的連續 live workflow 示範；僅列延伸，並與本課程標準視圖逐項對照。","待確認：原始近期替代搜尋紀錄未保存","影片頁未載商業揭露；不由此推定無利益關係。","true","07:32","01:45–07:31、07:48–24:22、24:51–25:47、26:10–27:04、27:26–28:23、28:34–28:53、29:59–30:35、30:41–33:26","13-point 是講者的簡化 framework，不是共識標準，也不代表已完成本課程的完整 required views。本課只學 01:45–07:31、07:48–24:22、24:51–25:47、26:10–27:04、27:26–28:23、28:34–28:53、29:59–30:35、30:41–33:26 的診斷掃描與診斷問答；其餘注射路徑、進針與無菌操作教學均不在本課範圍。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","未剪輯的 live exam 可觀察病人擺位、探頭移動與切面之間的轉換，適合已有解剖基礎後練習流程流暢度。"
"adopted","CH2","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=E_ydH_Slt2o","E_ydH_Slt2o","Ultrasound examination of the shoulder: basic","待確認","臺大醫院肌肉骨骼超音波中心 NTUH MSK Ultrasound center","11:41","2023-01-09","2023-01-09","","academic-medical-center","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","false","","","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–11:41","繁中基礎視圖對照；正式臨床影像保存與報告仍須遵循所在地及機構規範。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","台灣醫療體系的繁中示範，適合作為本地化術語與標準視圖對照。"
"adopted","CH3","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=Us_8gKPbrdk","Us_8gKPbrdk","Scanning the shoulder - start with the long head of biceps!","公開頁面未具名個別講者；以 SMUG 教學團隊標示。","SMUG MSK ultrasound training","14:47","2025-09-15","2025-09-15","","specialist-training-provider","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","core","false","","","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–14:47","局部初學示範，不是完整肩部檢查，也不作獨立診斷權威。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","2025 年針對初學者的逐步示範，清楚呈現起始地標與常見操作錯誤。"
"adopted","CH3","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=mezZ0x5-D3s","mezZ0x5-D3s","Webinar: Diagnostic Shoulder Ultrasound Exam - Part 1","Benjamin DuBois, MD","Sonosite","50:59","2023-03-20","2015-02-13","","medical-device-education","https://www.sonositeinstitute.com/webinars/diagnostic-shoulder-ultrasound-exam-part-1-5058","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","true","近期短片少有同等長度的肩部骨科醫師連續示範；只列延伸並保留內容日期揭露。","待確認：原始近期替代搜尋紀錄未保存","Sonosite 醫療器材教育平台；內容錄於廠商 webinar。","true","00:55","00:00–00:54、01:06–01:43、01:55–06:28、06:40–21:26、21:34–27:12、27:32–29:24、29:42–38:52、40:36–48:45、49:48–50:58","2015 年內容於 2023 年重上架；須以逐段審閱後的時間點學習，並以本課程更新 pulley、rotator interval 與報告術語。本課只學 00:00–00:54、01:06–01:43、01:55–06:28、06:40–21:26、21:34–27:12、27:32–29:24、29:42–38:52、40:36–48:45、49:48–50:58 的診斷掃描與病理判讀；其餘注射目標、進針、針具與 lidocaine 片段均不作本課操作依據。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","具名肩部骨科醫師的長篇連續示範，可補足短片難以呈現的前側肩部掃描脈絡。"
"adopted","CH3","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=-sVLoelvpQs","-sVLoelvpQs","Shoulder ultrasound: How to scan the long head of biceps tendon","待確認","The Ultrasound Site - MSK ultrasound education","3:52","2025-06-04","2025-06-04","","specialist-training-provider","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","extension","false","","","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–03:52","局部技巧示範，不等於完整前側肩部診斷檢查或肱二頭肌不穩定評估。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","短篇技巧示範，適合實機掃描前快速複習。"
"adopted","CH4","2026-08-02","既有課綱回溯建檔；原始搜尋字串未保存（待確認）","https://www.youtube.com/watch?v=jjzMYgbYwTg","jjzMYgbYwTg","Ultrasound of Rotator Interval by Carlo Martinoli","Carlo Martinoli, MD","Martinoli Ultrasound","1:21","2018-05-21","","原始錄製日期未公開；內容新鮮度暫以上架日判定。","international-expert-official-channel","","public；yt-dlp 可解析（2026-08-02）","YouTube oEmbed HTTP 200（2026-08-02）","core","true","Prof. Carlo Martinoli 的代表性解剖示範，現有近五年公開影片未提供同等精簡且清楚的旋轉間隙說明。","待確認：原始近期替代搜尋紀錄未保存","影片頁未載商業揭露；不由此推定無利益關係。","false","","00:00–01:21","高密度解剖辨識教材；不足以單獨教授完整取得流程、病理判讀或報告。","2026-08-02","Codex（逐片字幕實查；無字幕者明列待確認）","一分鐘內清楚呈現旋轉間隙的解剖關係，教學密度高且具代表性。"
